,category,scientific_name,common_names,conservation_group,park_name,observations
0,Mammal,Clethrionomys gapperi gapperi,Gapper's Red-Backed Vole,None,Bryce National Park,130
1,Mammal,Clethrionomys gapperi gapperi,Gapper's Red-Backed Vole,None,Yellowstone National Park,270
2,Mammal,Clethrionomys gapperi gapperi,Gapper's Red-Backed Vole,None,Great Smoky Mountains National Park,98
3,Mammal,Clethrionomys gapperi gapperi,Gapper's Red-Backed Vole,None,Yosemite National Park,117
4,Vascular Plant,Apocynum cannabinum var. cannabinum,Indian Hemp,None,Bryce National Park,115
5,Vascular Plant,Apocynum cannabinum var. cannabinum,Indian Hemp,None,Yellowstone National Park,262
6,Vascular Plant,Apocynum cannabinum var. cannabinum,Indian Hemp,None,Yosemite National Park,138
7,Vascular Plant,Apocynum cannabinum var. cannabinum,Indian Hemp,None,Great Smoky Mountains National Park,68
8,Vascular Plant,Betula occidentalis,Water Birch,None,Bryce National Park,112
9,Vascular Plant,Betula occidentalis,Water Birch,None,Yellowstone National Park,263
10,Vascular Plant,Betula occidentalis,Water Birch,None,Yosemite National Park,165
11,Vascular Plant,Betula occidentalis,Water Birch,None,Great Smoky Mountains National Park,85
12,Vascular Plant,Betula glandulosa,Resin Birch,None,Yellowstone National Park,238
13,Vascular Plant,Betula glandulosa,Resin Birch,None,Yosemite National Park,183
14,Vascular Plant,Betula glandulosa,Resin Birch,None,Great Smoky Mountains National Park,66
15,Vascular Plant,Betula glandulosa,Resin Birch,None,Bryce National Park,93
16,Vascular Plant,Polygala alba,White Milkwort,None,Yosemite National Park,154
17,Vascular Plant,Polygala alba,White Milkwort,None,Great Smoky Mountains National Park,55
18,Vascular Plant,Polygala alba,White Milkwort,None,Bryce National Park,93
19,Vascular Plant,Polygala alba,White Milkwort,None,Yellowstone National Park,242
20,Vascular Plant,Vicia cracca,"Tufted Vetch, Bird Vetch, Cow Vetch",None,Yellowstone National Park,267
21,Vascular Plant,Vicia cracca,"Tufted Vetch, Bird Vetch, Cow Vetch",None,Great Smoky Mountains National Park,65
22,Vascular Plant,Vicia cracca,"Tufted Vetch, Bird Vetch, Cow Vetch",None,Bryce National Park,94
23,Vascular Plant,Vicia cracca,"Tufted Vetch, Bird Vetch, Cow Vetch",None,Yosemite National Park,130
24,Vascular Plant,Vicia americana var. minor,Mat Vetch,None,Yellowstone National Park,242
25,Vascular Plant,Vicia americana var. minor,Mat Vetch,None,Yosemite National Park,131
26,Vascular Plant,Vicia americana var. minor,Mat Vetch,None,Great Smoky Mountains National Park,61
27,Vascular Plant,Vicia americana var. minor,Mat Vetch,None,Bryce National Park,92
28,Vascular Plant,Asclepias speciosa,Showy Milkweed,None,Bryce National Park,93
29,Vascular Plant,Asclepias speciosa,Showy Milkweed,None,Great Smoky Mountains National Park,62
30,Vascular Plant,Asclepias speciosa,Showy Milkweed,None,Yellowstone National Park,278
31,Vascular Plant,Asclepias speciosa,Showy Milkweed,None,Yosemite National Park,140
32,Vascular Plant,Thermopsis montana,Mountain Goldenbanner,None,Yellowstone National Park,261
33,Vascular Plant,Thermopsis montana,Mountain Goldenbanner,None,Bryce National Park,74
34,Vascular Plant,Thermopsis montana,Mountain Goldenbanner,None,Yosemite National Park,152
35,Vascular Plant,Thermopsis montana,Mountain Goldenbanner,None,Great Smoky Mountains National Park,68
36,Vascular Plant,Oxytropis sericea var. speciosa,White Locoweed,None,Great Smoky Mountains National Park,95
37,Vascular Plant,Oxytropis sericea var. speciosa,White Locoweed,None,Yellowstone National Park,275
38,Vascular Plant,Oxytropis sericea var. speciosa,White Locoweed,None,Bryce National Park,126
39,Vascular Plant,Oxytropis sericea var. speciosa,White Locoweed,None,Yosemite National Park,132
40,Vascular Plant,Oxytropis parryi,"Parry's Crazyweed, Parry Pointvetch, Parry's Oxytrope",None,Great Smoky Mountains National Park,66
41,Vascular Plant,Oxytropis parryi,"Parry's Crazyweed, Parry Pointvetch, Parry's Oxytrope",None,Bryce National Park,102
42,Vascular Plant,Oxytropis parryi,"Parry's Crazyweed, Parry Pointvetch, Parry's Oxytrope",None,Yosemite National Park,132
43,Vascular Plant,Oxytropis parryi,"Parry's Crazyweed, Parry Pointvetch, Parry's Oxytrope",None,Yellowstone National Park,221
44,Vascular Plant,Oxytropis lagopus var. lagopus,Haresfoot Locoweed,None,Yellowstone National Park,214
45,Vascular Plant,Oxytropis lagopus var. lagopus,Haresfoot Locoweed,None,Bryce National Park,117
46,Vascular Plant,Oxytropis lagopus var. lagopus,Haresfoot Locoweed,None,Yosemite National Park,182
47,Vascular Plant,Oxytropis lagopus var. lagopus,Haresfoot Locoweed,None,Great Smoky Mountains National Park,105
48,Vascular Plant,Oxytropis deflexa var. sericea,"Pendant-Pod Locoweed, Blue Nodding Locoweed, Longstem Hangpod Crazyweed",None,Yosemite National Park,169
49,Vascular Plant,Oxytropis deflexa var. sericea,"Pendant-Pod Locoweed, Blue Nodding Locoweed, Longstem Hangpod Crazyweed",None,Bryce National Park,82
50,Vascular Plant,Oxytropis deflexa var. sericea,"Pendant-Pod Locoweed, Blue Nodding Locoweed, Longstem Hangpod Crazyweed",None,Great Smoky Mountains National Park,47
51,Vascular Plant,Oxytropis deflexa var. sericea,"Pendant-Pod Locoweed, Blue Nodding Locoweed, Longstem Hangpod Crazyweed",None,Yellowstone National Park,260
52,Vascular Plant,Trifolium haydenii,Hayden's Clover,None,Great Smoky Mountains National Park,108
53,Vascular Plant,Trifolium haydenii,Hayden's Clover,None,Yosemite National Park,165
54,Vascular Plant,Trifolium haydenii,Hayden's Clover,None,Bryce National Park,100
55,Vascular Plant,Trifolium haydenii,Hayden's Clover,None,Yellowstone National Park,244
56,Vascular Plant,Oxytropis deflexa var. foliolosa,"Pendantpod Locoweed, Nodding Locoweed, Pendant-Pod Crazyweed",None,Great Smoky Mountains National Park,83
57,Vascular Plant,Oxytropis deflexa var. foliolosa,"Pendantpod Locoweed, Nodding Locoweed, Pendant-Pod Crazyweed",None,Yellowstone National Park,237
58,Vascular Plant,Oxytropis deflexa var. foliolosa,"Pendantpod Locoweed, Nodding Locoweed, Pendant-Pod Crazyweed",None,Yosemite National Park,152
59,Vascular Plant,Oxytropis deflexa var. foliolosa,"Pendantpod Locoweed, Nodding Locoweed, Pendant-Pod Crazyweed",None,Bryce National Park,133
60,Vascular Plant,Frasera speciosa,"Monument-Plant, Monument Plant, Showy Frasera, Elkweed, Green Gentian, Deer Ears",None,Great Smoky Mountains National Park,53
61,Vascular Plant,Frasera speciosa,"Monument-Plant, Monument Plant, Showy Frasera, Elkweed, Green Gentian, Deer Ears",None,Yosemite National Park,122
62,Vascular Plant,Frasera speciosa,"Monument-Plant, Monument Plant, Showy Frasera, Elkweed, Green Gentian, Deer Ears",None,Bryce National Park,72
63,Vascular Plant,Frasera speciosa,"Monument-Plant, Monument Plant, Showy Frasera, Elkweed, Green Gentian, Deer Ears",None,Yellowstone National Park,220
64,Vascular Plant,Gentianopsis simplex,"Oneflower Gentian, Oneflower Fringed Gentian",None,Bryce National Park,87
65,Vascular Plant,Gentianopsis simplex,"Oneflower Gentian, Oneflower Fringed Gentian",None,Yellowstone National Park,271
66,Vascular Plant,Gentianopsis simplex,"Oneflower Gentian, Oneflower Fringed Gentian",None,Yosemite National Park,173
67,Vascular Plant,Gentianopsis simplex,"Oneflower Gentian, Oneflower Fringed Gentian",None,Great Smoky Mountains National Park,84
68,Vascular Plant,Dracocephalum parviflorum,American Dragonhead,None,Yellowstone National Park,316
69,Vascular Plant,Dracocephalum parviflorum,American Dragonhead,None,Yosemite National Park,116
70,Vascular Plant,Dracocephalum parviflorum,American Dragonhead,None,Great Smoky Mountains National Park,95
71,Vascular Plant,Dracocephalum parviflorum,American Dragonhead,None,Bryce National Park,80
72,Vascular Plant,Agastache urticifolia,"Nettleleaf Giant Hyssop, Horsemint Giant Hyssop",None,Great Smoky Mountains National Park,57
73,Vascular Plant,Agastache urticifolia,"Nettleleaf Giant Hyssop, Horsemint Giant Hyssop",None,Bryce National Park,95
74,Vascular Plant,Agastache urticifolia,"Nettleleaf Giant Hyssop, Horsemint Giant Hyssop",None,Yellowstone National Park,236
75,Vascular Plant,Agastache urticifolia,"Nettleleaf Giant Hyssop, Horsemint Giant Hyssop",None,Yosemite National Park,144
76,Vascular Plant,Isoetes occidentalis,Western Quillwort,None,Bryce National Park,116
77,Vascular Plant,Isoetes occidentalis,Western Quillwort,None,Yosemite National Park,145
78,Vascular Plant,Isoetes occidentalis,Western Quillwort,None,Great Smoky Mountains National Park,83
79,Vascular Plant,Isoetes occidentalis,Western Quillwort,None,Yellowstone National Park,284
80,Vascular Plant,Isoetes echinospora,"IsoTe _ Spores _Pineuses, Spiny-Spore Quillwort",None,Yosemite National Park,123
81,Vascular Plant,Isoetes echinospora,"IsoTe _ Spores _Pineuses, Spiny-Spore Quillwort",None,Yellowstone National Park,258
82,Vascular Plant,Isoetes echinospora,"IsoTe _ Spores _Pineuses, Spiny-Spore Quillwort",None,Great Smoky Mountains National Park,86
83,Vascular Plant,Isoetes echinospora,"IsoTe _ Spores _Pineuses, Spiny-Spore Quillwort",None,Bryce National Park,84
84,Vascular Plant,Isoetes bolanderi,Bolander's Quillwort,None,Yellowstone National Park,240
85,Vascular Plant,Isoetes bolanderi,Bolander's Quillwort,None,Bryce National Park,113
86,Vascular Plant,Isoetes bolanderi,Bolander's Quillwort,None,Great Smoky Mountains National Park,72
87,Vascular Plant,Isoetes bolanderi,Bolander's Quillwort,None,Yosemite National Park,131
88,Vascular Plant,Geranium viscosissimum var. viscosissimum,Sticky Purple Geranium,None,Yosemite National Park,178
89,Vascular Plant,Geranium viscosissimum var. viscosissimum,Sticky Purple Geranium,None,Great Smoky Mountains National Park,75
90,Vascular Plant,Geranium viscosissimum var. viscosissimum,Sticky Purple Geranium,None,Bryce National Park,90
91,Vascular Plant,Geranium viscosissimum var. viscosissimum,Sticky Purple Geranium,None,Yellowstone National Park,248
92,Vascular Plant,Geranium viscosissimum var. nervosum,Sticky Purple Geranium,None,Yellowstone National Park,272
93,Vascular Plant,Geranium viscosissimum var. nervosum,Sticky Purple Geranium,None,Bryce National Park,101
94,Vascular Plant,Geranium viscosissimum var. nervosum,Sticky Purple Geranium,None,Yosemite National Park,163
95,Vascular Plant,Geranium viscosissimum var. nervosum,Sticky Purple Geranium,None,Great Smoky Mountains National Park,115
96,Vascular Plant,Geranium richardsonii,Richardson's Geranium,None,Yellowstone National Park,271
97,Vascular Plant,Geranium richardsonii,Richardson's Geranium,None,Yosemite National Park,126
98,Vascular Plant,Geranium richardsonii,Richardson's Geranium,None,Bryce National Park,90
99,Vascular Plant,Geranium richardsonii,Richardson's Geranium,None,Great Smoky Mountains National Park,34
100,Vascular Plant,Gentianella tenella,"Dane's Dwarf Gentian, Lapland Gentian, Dane's Dwarfgentian",None,Yosemite National Park,106
101,Vascular Plant,Gentianella tenella,"Dane's Dwarf Gentian, Lapland Gentian, Dane's Dwarfgentian",None,Great Smoky Mountains National Park,102
102,Vascular Plant,Gentianella tenella,"Dane's Dwarf Gentian, Lapland Gentian, Dane's Dwarfgentian",None,Bryce National Park,88
103,Vascular Plant,Gentianella tenella,"Dane's Dwarf Gentian, Lapland Gentian, Dane's Dwarfgentian",None,Yellowstone National Park,260
104,Vascular Plant,Geranium bicknellii,"Bicknell's Cranesbill, Northern Crane's-Bill",None,Great Smoky Mountains National Park,56
105,Vascular Plant,Geranium bicknellii,"Bicknell's Cranesbill, Northern Crane's-Bill",None,Yosemite National Park,141
106,Vascular Plant,Geranium bicknellii,"Bicknell's Cranesbill, Northern Crane's-Bill",None,Yellowstone National Park,259
107,Vascular Plant,Geranium bicknellii,"Bicknell's Cranesbill, Northern Crane's-Bill",None,Bryce National Park,116
108,Vascular Plant,Kelloggia galioides,"Milk Kelloggia, Milky Kelloggia",None,Yellowstone National Park,246
109,Vascular Plant,Kelloggia galioides,"Milk Kelloggia, Milky Kelloggia",None,Great Smoky Mountains National Park,76
110,Vascular Plant,Kelloggia galioides,"Milk Kelloggia, Milky Kelloggia",None,Bryce National Park,127
111,Vascular Plant,Kelloggia galioides,"Milk Kelloggia, Milky Kelloggia",None,Yosemite National Park,150
112,Vascular Plant,Galium verum,Yellow Spring Bedstraw,None,Yosemite National Park,132
113,Vascular Plant,Galium verum,Yellow Spring Bedstraw,None,Great Smoky Mountains National Park,75
114,Vascular Plant,Galium verum,Yellow Spring Bedstraw,None,Yellowstone National Park,183
115,Vascular Plant,Galium verum,Yellow Spring Bedstraw,None,Bryce National Park,121
116,Vascular Plant,Galium trifidum,"Small Bedstraw, Threepetal Bedstraw, Three-Petal Bedstraw",None,Yosemite National Park,141
