,category,scientific_name,conservation_status,common_names,park_name,observations
0,Mammal,Clethrionomys gapperi gapperi,None,Gapper's Red-Backed Vole,Bryce National Park,130
1,Mammal,Clethrionomys gapperi gapperi,None,Gapper's Red-Backed Vole,Yellowstone National Park,270
2,Mammal,Clethrionomys gapperi gapperi,None,Gapper's Red-Backed Vole,Great Smoky Mountains National Park,98
3,Mammal,Clethrionomys gapperi gapperi,None,Gapper's Red-Backed Vole,Yosemite National Park,117
4,Vascular Plant,Apocynum cannabinum var. cannabinum,None,Indian Hemp,Bryce National Park,115
5,Vascular Plant,Apocynum cannabinum var. cannabinum,None,Indian Hemp,Yellowstone National Park,262
6,Vascular Plant,Apocynum cannabinum var. cannabinum,None,Indian Hemp,Yosemite National Park,138
7,Vascular Plant,Apocynum cannabinum var. cannabinum,None,Indian Hemp,Great Smoky Mountains National Park,68
8,Vascular Plant,Betula occidentalis,None,Water Birch,Bryce National Park,112
9,Vascular Plant,Betula occidentalis,None,Water Birch,Yellowstone National Park,263
10,Vascular Plant,Betula occidentalis,None,Water Birch,Yosemite National Park,165
11,Vascular Plant,Betula occidentalis,None,Water Birch,Great Smoky Mountains National Park,85
12,Vascular Plant,Betula glandulosa,None,Resin Birch,Yellowstone National Park,238
13,Vascular Plant,Betula glandulosa,None,Resin Birch,Yosemite National Park,183
14,Vascular Plant,Betula glandulosa,None,Resin Birch,Great Smoky Mountains National Park,66
15,Vascular Plant,Betula glandulosa,None,Resin Birch,Bryce National Park,93
16,Vascular Plant,Polygala alba,None,White Milkwort,Yosemite National Park,154
17,Vascular Plant,Polygala alba,None,White Milkwort,Great Smoky Mountains National Park,55
18,Vascular Plant,Polygala alba,None,White Milkwort,Bryce National Park,93
19,Vascular Plant,Polygala alba,None,White Milkwort,Yellowstone National Park,242
20,Vascular Plant,Vicia cracca,None,"Cow Vetch, Bird Vetch, Tufted Vetch",Yellowstone National Park,267
21,Vascular Plant,Vicia cracca,None,"Cow Vetch, Bird Vetch, Tufted Vetch",Great Smoky Mountains National Park,65
22,Vascular Plant,Vicia cracca,None,"Cow Vetch, Bird Vetch, Tufted Vetch",Bryce National Park,94
23,Vascular Plant,Vicia cracca,None,"Cow Vetch, Bird Vetch, Tufted Vetch",Yosemite National Park,130
24,Vascular Plant,Vicia americana var. minor,None,Mat Vetch,Yellowstone National Park,242
25,Vascular Plant,Vicia americana var. minor,None,Mat Vetch,Yosemite National Park,131
26,Vascular Plant,Vicia americana var. minor,None,Mat Vetch,Great Smoky Mountains National Park,61
27,Vascular Plant,Vicia americana var. minor,None,Mat Vetch,Bryce National Park,92
28,Vascular Plant,Asclepias speciosa,None,Showy Milkweed,Bryce National Park,93
29,Vascular Plant,Asclepias speciosa,None,Showy Milkweed,Great Smoky Mountains National Park,62
30,Vascular Plant,Asclepias speciosa,None,Showy Milkweed,Yellowstone National Park,278
31,Vascular Plant,Asclepias speciosa,None,Showy Milkweed,Yosemite National Park,140
32,Vascular Plant,Thermopsis montana,None,Mountain Goldenbanner,Yellowstone National Park,261
33,Vascular Plant,Thermopsis montana,None,Mountain Goldenbanner,Bryce National Park,74
34,Vascular Plant,Thermopsis montana,None,Mountain Goldenbanner,Yosemite National Park,152
35,Vascular Plant,Thermopsis montana,None,Mountain Goldenbanner,Great Smoky Mountains National Park,68
36,Vascular Plant,Oxytropis sericea var. speciosa,None,White Locoweed,Great Smoky Mountains National Park,95
37,Vascular Plant,Oxytropis sericea var. speciosa,None,White Locoweed,Yellowstone National Park,275
38,Vascular Plant,Oxytropis sericea var. speciosa,None,White Locoweed,Bryce National Park,126
39,Vascular Plant,Oxytropis sericea var. speciosa,None,White Locoweed,Yosemite National Park,132
40,Vascular Plant,Oxytropis parryi,None,"Parry's Oxytrope, Parry's Crazyweed, Parry Pointvetch",Great Smoky Mountains National Park,66
41,Vascular Plant,Oxytropis parryi,None,"Parry's Oxytrope, Parry's Crazyweed, Parry Pointvetch",Bryce National Park,102
42,Vascular Plant,Oxytropis parryi,None,"Parry's Oxytrope, Parry's Crazyweed, Parry Pointvetch",Yosemite National Park,132
43,Vascular Plant,Oxytropis parryi,None,"Parry's Oxytrope, Parry's Crazyweed, Parry Pointvetch",Yellowstone National Park,221
44,Vascular Plant,Oxytropis lagopus var. lagopus,None,Haresfoot Locoweed,Yellowstone National Park,214
45,Vascular Plant,Oxytropis lagopus var. lagopus,None,Haresfoot Locoweed,Bryce National Park,117
46,Vascular Plant,Oxytropis lagopus var. lagopus,None,Haresfoot Locoweed,Yosemite National Park,182
47,Vascular Plant,Oxytropis lagopus var. lagopus,None,Haresfoot Locoweed,Great Smoky Mountains National Park,105
48,Vascular Plant,Oxytropis deflexa var. sericea,None,"Pendant-Pod Locoweed, Longstem Hangpod Crazyweed, Blue Nodding Locoweed",Yosemite National Park,169
49,Vascular Plant,Oxytropis deflexa var. sericea,None,"Pendant-Pod Locoweed, Longstem Hangpod Crazyweed, Blue Nodding Locoweed",Bryce National Park,82
50,Vascular Plant,Oxytropis deflexa var. sericea,None,"Pendant-Pod Locoweed, Longstem Hangpod Crazyweed, Blue Nodding Locoweed",Great Smoky Mountains National Park,47
51,Vascular Plant,Oxytropis deflexa var. sericea,None,"Pendant-Pod Locoweed, Longstem Hangpod Crazyweed, Blue Nodding Locoweed",Yellowstone National Park,260
52,Vascular Plant,Trifolium haydenii,None,Hayden's Clover,Great Smoky Mountains National Park,108
53,Vascular Plant,Trifolium haydenii,None,Hayden's Clover,Yosemite National Park,165
54,Vascular Plant,Trifolium haydenii,None,Hayden's Clover,Bryce National Park,100
55,Vascular Plant,Trifolium haydenii,None,Hayden's Clover,Yellowstone National Park,244
56,Vascular Plant,Oxytropis deflexa var. foliolosa,None,"Nodding Locoweed, Pendant-Pod Crazyweed, Pendantpod Locoweed",Great Smoky Mountains National Park,83
57,Vascular Plant,Oxytropis deflexa var. foliolosa,None,"Nodding Locoweed, Pendant-Pod Crazyweed, Pendantpod Locoweed",Yellowstone National Park,237
58,Vascular Plant,Oxytropis deflexa var. foliolosa,None,"Nodding Locoweed, Pendant-Pod Crazyweed, Pendantpod Locoweed",Yosemite National Park,152
59,Vascular Plant,Oxytropis deflexa var. foliolosa,None,"Nodding Locoweed, Pendant-Pod Crazyweed, Pendantpod Locoweed",Bryce National Park,133
60,Vascular Plant,Frasera speciosa,None,"Elkweed, Monument-Plant, Green Gentian, Showy Frasera, Deer Ears, Monument Plant",Great Smoky Mountains National Park,53
61,Vascular Plant,Frasera speciosa,None,"Elkweed, Monument-Plant, Green Gentian, Showy Frasera, Deer Ears, Monument Plant",Yosemite National Park,122
62,Vascular Plant,Frasera speciosa,None,"Elkweed, Monument-Plant, Green Gentian, Showy Frasera, Deer Ears, Monument Plant",Bryce National Park,72
63,Vascular Plant,Frasera speciosa,None,"Elkweed, Monument-Plant, Green Gentian, Showy Frasera, Deer Ears, Monument Plant",Yellowstone National Park,220
64,Vascular Plant,Gentianopsis simplex,None,"Oneflower Fringed Gentian, Oneflower Gentian",Bryce National Park,87
65,Vascular Plant,Gentianopsis simplex,None,"Oneflower Fringed Gentian, Oneflower Gentian",Yellowstone National Park,271
66,Vascular Plant,Gentianopsis simplex,None,"Oneflower Fringed Gentian, Oneflower Gentian",Yosemite National Park,173
