,category,scientific_name,conservation_status,common_names
0,Mammal,Clethrionomys gapperi gapperi,None,Gapper's Red-Backed Vole
3879,Vascular Plant,Apocynum cannabinum var. cannabinum,None,Indian Hemp
3876,Vascular Plant,Betula occidentalis,None,Water Birch
3875,Vascular Plant,Betula glandulosa,None,Resin Birch
3874,Vascular Plant,Polygala alba,None,White Milkwort
3873,Vascular Plant,Vicia cracca,None,"Bird Vetch, Tufted Vetch, Cow Vetch"
3872,Vascular Plant,Vicia americana var. minor,None,Mat Vetch
3880,Vascular Plant,Asclepias speciosa,None,Showy Milkweed
3866,Vascular Plant,Thermopsis montana,None,Mountain Goldenbanner
3865,Vascular Plant,Oxytropis sericea var. speciosa,None,White Locoweed
3864,Vascular Plant,Oxytropis parryi,None,"Parry's Crazyweed, Parry's Oxytrope, Parry Pointvetch"
3863,Vascular Plant,Oxytropis lagopus var. lagopus,None,Haresfoot Locoweed
3862,Vascular Plant,Oxytropis deflexa var. sericea,None,"Pendant-Pod Locoweed, Blue Nodding Locoweed, Longstem Hangpod Crazyweed"
3870,Vascular Plant,Trifolium haydenii,None,Hayden's Clover
3861,Vascular Plant,Oxytropis deflexa var. foliolosa,None,"Pendantpod Locoweed, Pendant-Pod Crazyweed, Nodding Locoweed"
3881,Vascular Plant,Frasera speciosa,None,"Monument Plant, Elkweed, Green Gentian, Monument-Plant, Deer Ears, Showy Frasera"
3883,Vascular Plant,Gentianopsis simplex,None,"Oneflower Fringed Gentian, Oneflower Gentian"
3901,Vascular Plant,Dracocephalum parviflorum,None,American Dragonhead
3900,Vascular Plant,Agastache urticifolia,None,"Nettleleaf Giant Hyssop, Horsemint Giant Hyssop"
3899,Vascular Plant,Isoetes occidentalis,None,Western Quillwort
3898,Vascular Plant,Isoetes echinospora,None,"Spiny-Spore Quillwort, IsoTe _ Spores _Pineuses"
3897,Vascular Plant,Isoetes bolanderi,None,Bolander's Quillwort
3896,Vascular Plant,Geranium viscosissimum var. viscosissimum,None,Sticky Purple Geranium
3895,Vascular Plant,Geranium viscosissimum var. nervosum,None,Sticky Purple Geranium
3894,Vascular Plant,Geranium richardsonii,None,Richardson's Geranium
3882,Vascular Plant,Gentianella tenella,None,"Lapland Gentian, Dane's Dwarf Gentian, Dane's Dwarfgentian"
3893,Vascular Plant,Geranium bicknellii,None,"Bicknell's Cranesbill, Northern Crane's-Bill"
3891,Vascular Plant,Kelloggia galioides,None,"Milk Kelloggia, Milky Kelloggia"
3890,Vascular Plant,Galium verum,None,Yellow Spring Bedstraw
